course_id,location_name,city,state
103710B,"Levels 1, 2 & 4 - 95 Bathurst Street Sydney",Sydney,NSW
103710B,Suite 1 Ground Floor 97 Pirie St ADELAIDE SA 5000,ADELAIDE,SA
103711A,"Levels 1, 2 & 4 - 95 Bathurst Street Sydney",Sydney,NSW
103711A,Suite 1 Ground Floor 97 Pirie St ADELAIDE SA 5000,ADELAIDE,SA
103712M,"Levels 1, 2 & 4 - 95 Bathurst Street Sydney",Sydney,NSW
103712M,Suite 1 Ground Floor 97 Pirie St ADELAIDE SA 5000,ADELAIDE,SA
103713K,"Levels 1, 2 & 4 - 95 Bathurst Street Sydney",Sydney,NSW
103713K,Suite 1 Ground Floor 97 Pirie St ADELAIDE SA 5000,ADELAIDE,SA
106674K,"Levels 1, 2 & 4 - 95 Bathurst Street Sydney",Sydney,NSW
106674K,Suite 1 Ground Floor 97 Pirie St ADELAIDE SA 5000,ADELAIDE,SA
106675J,"Levels 1, 2 & 4 - 95 Bathurst Street Sydney",Sydney,NSW
106675J,Suite 1 Ground Floor 97 Pirie St ADELAIDE SA 5000,ADELAIDE,SA
108017E,Hindmarsh Campus - 321 Port Rd Hindmarsh SA 5007,Hindmarsh,SA
108017E,"Levels 1, 2 & 4 - 95 Bathurst Street Sydney",Sydney,NSW
109536G,Arncliffe Campus - Shop 6 106 Princes Highway Arncliffe NSW,Arncliffe,NSW
109536G,Hindmarsh Campus - 321 Port Rd Hindmarsh SA 5007,Hindmarsh,SA
109536G,"Levels 1, 2 & 4 - 95 Bathurst Street Sydney",Sydney,NSW
109536G,Suite 1 Ground Floor 97 Pirie St ADELAIDE SA 5000,ADELAIDE,SA
109943C,"Levels 1, 2 & 4 - 95 Bathurst Street Sydney",Sydney,NSW
109948J,"Levels 1, 2 & 4 - 95 Bathurst Street Sydney",Sydney,NSW
110005B,"Levels 1, 2 & 4 - 95 Bathurst Street Sydney",Sydney,NSW
110005B,Suite 1 Ground Floor 97 Pirie St ADELAIDE SA 5000,ADELAIDE,SA
110506C,"Levels 1, 2 & 4 - 95 Bathurst Street Sydney",Sydney,NSW
110506C,Suite 1 Ground Floor 97 Pirie St ADELAIDE SA 5000,ADELAIDE,SA
110507B,"Levels 1, 2 & 4 - 95 Bathurst Street Sydney",Sydney,NSW
110507B,Suite 1 Ground Floor 97 Pirie St ADELAIDE SA 5000,ADELAIDE,SA
110508A,Arncliffe Campus - Shop 6 106 Princes Highway Arncliffe NSW,Arncliffe,NSW
110508A,Hindmarsh Campus - 321 Port Rd Hindmarsh SA 5007,Hindmarsh,SA
110508A,"Levels 1, 2 & 4 - 95 Bathurst Street Sydney",Sydney,NSW
110508A,Suite 1 Ground Floor 97 Pirie St ADELAIDE SA 5000,ADELAIDE,SA
110509M,Arncliffe Campus - Shop 6 106 Princes Highway Arncliffe NSW,Arncliffe,NSW
110509M,Hindmarsh Campus - 321 Port Rd Hindmarsh SA 5007,Hindmarsh,SA
110509M,"Levels 1, 2 & 4 - 95 Bathurst Street Sydney",Sydney,NSW
110509M,Suite 1 Ground Floor 97 Pirie St ADELAIDE SA 5000,ADELAIDE,SA
098554M,"Lvl 6, 127 Liverpool Street, Sydney, New South Wales, 2000",SYDNEY,NSW
098554M,Thomas Street,HAYMARKET,NSW
104327A,"Lvl 6, 127 Liverpool Street, Sydney, New South Wales, 2000",SYDNEY,NSW
104327A,Thomas Street,HAYMARKET,NSW
105981G,"Lvl 6, 127 Liverpool Street, Sydney, New South Wales, 2000",SYDNEY,NSW
105981G,Thomas Street,HAYMARKET,NSW
105982F,"Lvl 6, 127 Liverpool Street, Sydney, New South Wales, 2000",SYDNEY,NSW
105982F,Thomas Street,HAYMARKET,NSW
097214F,"Level 4, 33 Scarborough St SOUTHPORT",SOUTHPORT,QLD
097215E,"Level 4, 33 Scarborough St SOUTHPORT",SOUTHPORT,QLD
097273F,364 Lonsdale St MELBOURNE VIC 3000,MELBOURNE,VIC
097273F,"56 Caloola Drive, TWEED HEADS NSW 2485",Tweed Heads,NSW
097273F,Kangaroo Point QLD - 310 Vulture St KANGAROO POINT QLD 4169,Kangaroo Point,QLD
097273F,"Level 4, 33 Scarborough St SOUTHPORT",SOUTHPORT,QLD
097273F,Salisbury QLD - 460-492 Beaudesert Road,Salisbury,QLD
097273F,"SURFERS PARADISE QLD - 64 Ferny Ave, SURFERS PARADISE QLD 4217",Surfers Paradise,QLD
103066C,364 Lonsdale St MELBOURNE VIC 3000,MELBOURNE,VIC
103066C,"56 Caloola Drive, TWEED HEADS NSW 2485",Tweed Heads,NSW
103066C,"Level 4, 33 Scarborough St SOUTHPORT",SOUTHPORT,QLD
103066C,Salisbury QLD - 460-492 Beaudesert Road,Salisbury,QLD
103067B,364 Lonsdale St MELBOURNE VIC 3000,MELBOURNE,VIC
103067B,"56 Caloola Drive, TWEED HEADS NSW 2485",Tweed Heads,NSW
103067B,"Level 4, 33 Scarborough St SOUTHPORT",SOUTHPORT,QLD
103067B,Salisbury QLD - 460-492 Beaudesert Road,Salisbury,QLD
103830E,364 Lonsdale St MELBOURNE VIC 3000,MELBOURNE,VIC
103830E,"56 Caloola Drive, TWEED HEADS NSW 2485",Tweed Heads,NSW
103830E,Kangaroo Point QLD - 310 Vulture St KANGAROO POINT QLD 4169,Kangaroo Point,QLD
103830E,"Level 4, 33 Scarborough St SOUTHPORT",SOUTHPORT,QLD
103830E,Salisbury QLD - 460-492 Beaudesert Road,Salisbury,QLD
103830E,"SURFERS PARADISE QLD - 64 Ferny Ave, SURFERS PARADISE QLD 4217",Surfers Paradise,QLD
104082F,364 Lonsdale St MELBOURNE VIC 3000,MELBOURNE,VIC
104082F,"56 Caloola Drive, TWEED HEADS NSW 2485",Tweed Heads,NSW
104082F,Kangaroo Point QLD - 310 Vulture St KANGAROO POINT QLD 4169,Kangaroo Point,QLD
104082F,"Level 4, 33 Scarborough St SOUTHPORT",SOUTHPORT,QLD
104082F,Salisbury QLD - 460-492 Beaudesert Road,Salisbury,QLD
104082F,"SURFERS PARADISE QLD - 64 Ferny Ave, SURFERS PARADISE QLD 4217",Surfers Paradise,QLD
104328M,364 Lonsdale St MELBOURNE VIC 3000,MELBOURNE,VIC
104328M,"56 Caloola Drive, TWEED HEADS NSW 2485",Tweed Heads,NSW
104328M,Kangaroo Point QLD - 310 Vulture St KANGAROO POINT QLD 4169,Kangaroo Point,QLD
104328M,"Level 4, 33 Scarborough St SOUTHPORT",SOUTHPORT,QLD
104328M,Salisbury QLD - 460-492 Beaudesert Road,Salisbury,QLD
104328M,"SURFERS PARADISE QLD - 64 Ferny Ave, SURFERS PARADISE QLD 4217",Surfers Paradise,QLD
107104C,364 Lonsdale St MELBOURNE VIC 3000,MELBOURNE,VIC
107104C,"56 Caloola Drive, TWEED HEADS NSW 2485",Tweed Heads,NSW
107104C,Kangaroo Point QLD - 310 Vulture St KANGAROO POINT QLD 4169,Kangaroo Point,QLD
107104C,"Level 4, 33 Scarborough St SOUTHPORT",SOUTHPORT,QLD
107104C,Salisbury QLD - 460-492 Beaudesert Road,Salisbury,QLD
107104C,"SURFERS PARADISE QLD - 64 Ferny Ave, SURFERS PARADISE QLD 4217",Surfers Paradise,QLD
107204K,364 Lonsdale St MELBOURNE VIC 3000,MELBOURNE,VIC
107204K,"56 Caloola Drive, TWEED HEADS NSW 2485",Tweed Heads,NSW
107204K,Kangaroo Point QLD - 310 Vulture St KANGAROO POINT QLD 4169,Kangaroo Point,QLD
107204K,"Level 4, 33 Scarborough St SOUTHPORT",SOUTHPORT,QLD
107204K,Salisbury QLD - 460-492 Beaudesert Road,Salisbury,QLD
107204K,"SURFERS PARADISE QLD - 64 Ferny Ave, SURFERS PARADISE QLD 4217",Surfers Paradise,QLD
107922B,364 Lonsdale St MELBOURNE VIC 3000,MELBOURNE,VIC
107922B,"56 Caloola Drive, TWEED HEADS NSW 2485",Tweed Heads,NSW
107922B,Kangaroo Point QLD - 310 Vulture St KANGAROO POINT QLD 4169,Kangaroo Point,QLD
107922B,"Level 4, 33 Scarborough St SOUTHPORT",SOUTHPORT,QLD
107922B,Salisbury QLD - 460-492 Beaudesert Road,Salisbury,QLD
107922B,"SURFERS PARADISE QLD - 64 Ferny Ave, SURFERS PARADISE QLD 4217",Surfers Paradise,QLD
108701G,364 Lonsdale St MELBOURNE VIC 3000,MELBOURNE,VIC
108701G,"56 Caloola Drive, TWEED HEADS NSW 2485",Tweed Heads,NSW
108701G,Kangaroo Point QLD - 310 Vulture St KANGAROO POINT QLD 4169,Kangaroo Point,QLD
108701G,"Level 4, 33 Scarborough St SOUTHPORT",SOUTHPORT,QLD
108701G,"SURFERS PARADISE QLD - 64 Ferny Ave, SURFERS PARADISE QLD 4217",Surfers Paradise,QLD
109537F,364 Lonsdale St MELBOURNE VIC 3000,MELBOURNE,VIC
109537F,"56 Caloola Drive, TWEED HEADS NSW 2485",Tweed Heads,NSW
109537F,Kangaroo Point QLD - 310 Vulture St KANGAROO POINT QLD 4169,Kangaroo Point,QLD
109537F,"Level 4, 33 Scarborough St SOUTHPORT",SOUTHPORT,QLD
109537F,Salisbury QLD - 460-492 Beaudesert Road,Salisbury,QLD
109537F,"SURFERS PARADISE QLD - 64 Ferny Ave, SURFERS PARADISE QLD 4217",Surfers Paradise,QLD
109867K,364 Lonsdale St MELBOURNE VIC 3000,MELBOURNE,VIC
109867K,"56 Caloola Drive, TWEED HEADS NSW 2485",Tweed Heads,NSW
109867K,Kangaroo Point QLD - 310 Vulture St KANGAROO POINT QLD 4169,Kangaroo Point,QLD
109867K,"Level 4, 33 Scarborough St SOUTHPORT",SOUTHPORT,QLD
109867K,Salisbury QLD - 460-492 Beaudesert Road,Salisbury,QLD
109867K,"SURFERS PARADISE QLD - 64 Ferny Ave, SURFERS PARADISE QLD 4217",Surfers Paradise,QLD
113745H,364 Lonsdale St MELBOURNE VIC 3000,MELBOURNE,VIC
113745H,"56 Caloola Drive, TWEED HEADS NSW 2485",Tweed Heads,NSW
113745H,Kangaroo Point QLD - 310 Vulture St KANGAROO POINT QLD 4169,Kangaroo Point,QLD
113745H,"Level 4, 33 Scarborough St SOUTHPORT",SOUTHPORT,QLD
113745H,Salisbury QLD - 460-492 Beaudesert Road,Salisbury,QLD
113745H,"SURFERS PARADISE QLD - 64 Ferny Ave, SURFERS PARADISE QLD 4217",Surfers Paradise,QLD
0101532,"Unit 7, 96 Wilkie Street YEERONGPILLY",YEERONGPILLY,QLD
097667K,"Unit 7, 96 Wilkie Street YEERONGPILLY",YEERONGPILLY,QLD
097668J,"Unit 7, 96 Wilkie Street YEERONGPILLY",YEERONGPILLY,QLD
109538E,"Unit 7, 96 Wilkie Street YEERONGPILLY",YEERONGPILLY,QLD
112454E,"Unit 7, 96 Wilkie Street YEERONGPILLY",YEERONGPILLY,QLD
112455D,"Unit 7, 96 Wilkie Street YEERONGPILLY",YEERONGPILLY,QLD
112456C,"Unit 7, 96 Wilkie Street YEERONGPILLY",YEERONGPILLY,QLD
112457B,"Unit 7, 96 Wilkie Street YEERONGPILLY",YEERONGPILLY,QLD
112458A,"Unit 7, 96 Wilkie Street YEERONGPILLY",YEERONGPILLY,QLD
112459M,"Unit 7, 96 Wilkie Street YEERONGPILLY",YEERONGPILLY,QLD
112519D,"Unit 7, 96 Wilkie Street YEERONGPILLY",YEERONGPILLY,QLD
112520M,"Unit 7, 96 Wilkie Street YEERONGPILLY",YEERONGPILLY,QLD
112521K,"Unit 7, 96 Wilkie Street YEERONGPILLY",YEERONGPILLY,QLD
095441M,Bourke St,Melbourne,VIC
099276J,Bourke St,Melbourne,VIC
099278G,Bourke St,Melbourne,VIC
099279F,Bourke St,Melbourne,VIC
104329K,Bourke St,Melbourne,VIC
105994B,Bourke St,Melbourne,VIC
105995A,Bourke St,Melbourne,VIC
105996M,Bourke St,Melbourne,VIC
105997K,Bourke St,Melbourne,VIC
105998J,Bourke St,Melbourne,VIC
105999H,Bourke St,Melbourne,VIC
106000H,Bourke St,Melbourne,VIC
106001G,Bourke St,Melbourne,VIC
106136C,Bourke St,Melbourne,VIC
110006A,Bourke St,Melbourne,VIC
113824J,Bourke St,Melbourne,VIC
114160C,Bourke St,Melbourne,VIC
114161B,Bourke St,Melbourne,VIC
115028K,Bourke St,Melbourne,VIC
115029J,Bourke St,Melbourne,VIC
103194F,ACP Surry Hills Chalmers St Campus,Surry Hills,NSW
103195E,ACP Surry Hills Chalmers St Campus,Surry Hills,NSW
103196D,ACP Surry Hills Chalmers St Campus,Surry Hills,NSW
104330F,ACP Surry Hills Chalmers St Campus,Surry Hills,NSW
105967E,ACP Surry Hills Chalmers St Campus,Surry Hills,NSW
105968D,ACP Surry Hills Chalmers St Campus,Surry Hills,NSW
106377H,ACP Surry Hills Chalmers St Campus,Surry Hills,NSW
108494J,ACP Surry Hills Chalmers St Campus,Surry Hills,NSW
108495H,ACP Surry Hills Chalmers St Campus,Surry Hills,NSW
109539D,ACP Surry Hills Chalmers St Campus,Surry Hills,NSW
113103J,ACP Surry Hills Chalmers St Campus,Surry Hills,NSW
113442A,ACP Surry Hills Chalmers St Campus,Surry Hills,NSW
113543G,ACP Surry Hills Chalmers St Campus,Surry Hills,NSW
113544F,ACP Surry Hills Chalmers St Campus,Surry Hills,NSW
113545E,ACP Surry Hills Chalmers St Campus,Surry Hills,NSW
104579C,37 Gregory St PARAP NT 0820,PARAP,NT
104579C,460 Church Street Parramatta,Parramatta,NSW
106447K,460 Church Street Parramatta,Parramatta,NSW
106448J,460 Church Street Parramatta,Parramatta,NSW
111253M,460 Church Street Parramatta,Parramatta,NSW
114648A,460 Church Street Parramatta,Parramatta,NSW
103393K,125 Main Street Blacktown,Blacktown,NSW
103393K,"18 Mt Gravatt Capalaba Rd, Upper Mt Gravatt",UPPER MOUNT GRAVATT,QLD
104499C,125 Main Street Blacktown,Blacktown,NSW
104499C,"18 Mt Gravatt Capalaba Rd, Upper Mt Gravatt",UPPER MOUNT GRAVATT,QLD
108129H,Parkville,Parkville,VIC
108129H,ZOI Education Murray St,PYRMONT,NSW
108130D,Parkville,Parkville,VIC
108130D,ZOI Education Murray St,PYRMONT,NSW
108574J,Parkville,Parkville,VIC
108574J,ZOI Education Murray St,PYRMONT,NSW
108575H,Parkville,Parkville,VIC
108575H,ZOI Education Murray St,PYRMONT,NSW
110706F,Parkville,Parkville,VIC
110706F,ZOI Education Murray St,PYRMONT,NSW
110707E,Parkville,Parkville,VIC
110707E,ZOI Education Murray St,PYRMONT,NSW
110708D,Parkville,Parkville,VIC
110708D,ZOI Education Murray St,PYRMONT,NSW
095482B,"95 Bathurst Street, Sydney",SYDNEY,NSW
095482B,Sydney Campus,SYDNEY,NSW
095482B,Thomas Street Campus,Haymarket,NSW
108792K,"95 Bathurst Street, Sydney",SYDNEY,NSW
108792K,Sydney Campus,SYDNEY,NSW
108792K,Thomas Street Campus,Haymarket,NSW
108793J,"95 Bathurst Street, Sydney",SYDNEY,NSW
108793J,Sydney Campus,SYDNEY,NSW
108793J,Thomas Street Campus,Haymarket,NSW
108794H,"95 Bathurst Street, Sydney",SYDNEY,NSW
108794H,Sydney Campus,SYDNEY,NSW
108794H,Thomas Street Campus,Haymarket,NSW
108795G,"95 Bathurst Street, Sydney",SYDNEY,NSW
108795G,Sydney Campus,SYDNEY,NSW
108795G,Thomas Street Campus,Haymarket,NSW
096178B,Level 1 54-58 Brookes Street Bowen hills,Bowen hills,QLD
096178B,Melbourne City,MELBOURNE,VIC
096178B,Parramatta RANSFORD,PARRAMATTA,NSW
096178B,Ransford Adelaide,Adelaide,SA
096178B,Sydney CBD,SURRY HILLS,NSW
096180G,Melbourne City,MELBOURNE,VIC
096180G,Parramatta RANSFORD,PARRAMATTA,NSW
096180G,RANSFORD - Footscray,Footscray,VIC
096180G,Ransford Adelaide,Adelaide,SA
096180G,Sydney CBD,SURRY HILLS,NSW
