ANZSCO,Occupation,National future Demand,Shortage Driver,National Shortage Rating,New South Wales Shortage Rating,Victoria Shortage Rating,Queensland Shortage Rating,South Australia Shortage Rating,Western Australia Shortage Rating,Tasmania Shortage Rating,Northern Territory Shortage Rating,Australian Capital Territory Shortage Rating
1493,Conference and Event Organisers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,Shortage,No Shortage
1494,Transport Services Managers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
1499,"Other Hospitality, Retail and Service Managers",At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
2111,"Actors, Dancers and Other Entertainers",At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
2112,Music Professionals,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
2113,Photographers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
2114,Visual Arts and Crafts Professionals,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
2121,"Artistic Directors, and Media Producers and Presenters",At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage
2122,"Authors, and Book and Script Editors",At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
2123,"Film, Television, Radio and Stage Directors",At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage
2124,Journalists and Other Writers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
2211,Accountants,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
2212,"Auditors, Company Secretaries and Corporate Treasurers",At economy-wide average,Suitability Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2221,Financial Brokers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
2222,Financial Dealers,Below economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
2223,Financial Investment Advisers and Managers,Below economy-wide average,Suitability Gap,Shortage,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2231,Human Resource Professionals,Above economy-wide average,Retention Gap,Shortage,Shortage,Shortage,No Shortage,Shortage,No Shortage,No Shortage,Shortage,No Shortage
2233,Training and Development Professionals,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
2241,Mathematical Science Professionals,Above economy-wide average,,No Shortage,Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage
2242,"Archivists, Curators and Records Managers",At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
2243,Economists,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
2244,Intelligence and Policy Analysts,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
2245,Land Economists and Valuers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
2246,Librarians,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
2247,Management and Organisation Analysts,Above economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
2249,Other Information and Organisation Professionals,Above economy-wide average,,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
2251,Advertising and Marketing Professionals,At economy-wide average,Suitability Gap,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,Shortage,Shortage
2252,ICT Sales Professionals,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
2253,Public Relations Professionals,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
2254,Technical Sales Representatives,At economy-wide average,Short Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,Shortage,No Shortage
2311,Air Transport Professionals,Below economy-wide average,Yet to be Determined,Shortage,Shortage,Shortage,Regional Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2312,Marine Transport Professionals,Below economy-wide average,,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,Shortage,Shortage
2321,Architects and Landscape Architects,At economy-wide average,Suitability Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2322,Surveyors and Spatial Scientists,At economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2323,"Fashion, Industrial and Jewellery Designers",At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
2324,"Graphic and Web Designers, and Illustrators",At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
2325,Interior Designers,At economy-wide average,Suitability Gap,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,No Shortage,Shortage
2326,Urban and Regional Planners,At economy-wide average,Suitability Gap,Regional Shortage,Shortage,Regional Shortage,Regional Shortage,Shortage,Regional Shortage,Regional Shortage,Regional Shortage,No Shortage
2331,Chemical and Materials Engineers,At economy-wide average,Yet to be Determined,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2332,Civil Engineering Professionals,At economy-wide average,Suitability Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2333,Electrical Engineers,At economy-wide average,Suitability Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2334,Electronics Engineers,Below economy-wide average,Suitability Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2335,"Industrial, Mechanical and Production Engineers",Below economy-wide average,Suitability Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2336,Mining Engineers,Below economy-wide average,Suitability Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2339,Other Engineering Professionals,At economy-wide average,Yet to be Determined,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage
2341,"Agricultural, Fisheries and Forestry Scientists",At economy-wide average,Suitability Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2342,"Chemists, and Food and Wine Scientists",At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
2343,Environmental Scientists,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
2344,"Geologists, Geophysicists and Hydrogeologists",At economy-wide average,Suitability Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2345,Life Scientists,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
2346,Medical Scientists,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
2347,Veterinarians,At economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2349,Other Natural and Physical Science Professionals,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
2411,Early Childhood (Pre-primary School) Teachers,At economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2412,Primary School Teachers,At economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2413,Middle School Teachers / Intermediate School Teachers,At economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,No Shortage
2414,Secondary School Teachers,At economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2415,Special Education Teachers,At economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2421,University Lecturers and Tutors,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
2422,Vocational Education Teachers / Polytechnic Teachers,At economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2491,Education Advisers and Reviewers,At economy-wide average,,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
2492,Private Tutors and Teachers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
2493,Teachers of English to Speakers of Other Languages,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
2511,Nutrition Professionals,At economy-wide average,,No Shortage,No Shortage,No Shortage,Regional Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
2512,Medical Imaging Professionals,At economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2513,Occupational and Environmental Health Professionals,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
2514,Optometrists and Orthoptists,At economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Regional Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2515,Pharmacists,At economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2519,Other Health Diagnostic and Promotion Professionals,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
2521,Chiropractors and Osteopaths,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage
2522,Complementary Health Therapists,Below economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
2523,Dental Practitioners,Below economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Regional Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2524,Occupational Therapists,At economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2525,Physiotherapists,At economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2526,Podiatrists,Below economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2527,Audiologists and Speech Pathologists / Therapists,At economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2531,General Practitioners and Resident Medical Officers,At economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2532,Anaesthetists,At economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2533,Specialist Physicians,At economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2534,Psychiatrists,At economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2535,Surgeons,At economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2539,Other Medical Practitioners,Below economy-wide average,Yet to be Determined,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2541,Midwives,At economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Regional Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2542,Nurse Educators and Researchers,At economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2543,Nurse Managers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage
2544,Registered Nurses,At economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2611,ICT Business and Systems Analysts,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
2612,Multimedia Specialists and Web Developers,At economy-wide average,Suitability Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2613,Software and Applications Programmers,At economy-wide average,Suitability Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2621,"Database and Systems Administrators, and ICT Security Specialists",Above economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
2631,Computer Network Professionals,At economy-wide average,Suitability Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2632,ICT Support and Test Engineers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
2633,Telecommunications Engineering Professionals,At economy-wide average,,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
2711,Barristers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
2712,Judicial and Other Legal Professionals,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
2713,Solicitors,At economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2721,Counsellors,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
2722,Ministers of Religion,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
2723,Psychologists,At economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2724,Social Professionals,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
2725,Social Workers,At economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
2726,"Welfare, Recreation and Community Arts Workers",At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
3111,"Agricultural, Agritech and Aquaculture Technicians",At economy-wide average,Yet to be Determined,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
3112,Medical Technicians,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
3113,Primary Products Assurance and Inspection Officers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
3114,Science Technicians,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
3121,"Architectural, Building and Surveying Technicians",At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
3122,Civil Engineering Draftspersons and Technicians,At economy-wide average,Retention Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
3123,Electrical Engineering Draftspersons and Technicians,At economy-wide average,,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
3124,Electronic Engineering Draftspersons and Technicians,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,Shortage,No Shortage,No Shortage,No Shortage
3125,Mechanical Engineering Draftspersons and Technicians,At economy-wide average,Retention Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
3126,Safety Inspectors,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
3129,Other Building and Engineering Technicians,At economy-wide average,Retention Gap,Shortage,No Shortage,Shortage,Shortage,No Shortage,Shortage,No Shortage,Shortage,No Shortage
3131,ICT Support Technicians,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
3132,Telecommunications Technical Specialists,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
3211,Automotive Electricians,At economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
3212,Motor Mechanics,Below economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
3221,"Metal Casting, Forging and Finishing Trades Workers",Below economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
3222,Sheetmetal Workers,At economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
3223,Structural Steel and Welding Trades Workers,At economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
3231,Aircraft Maintenance Engineers,At economy-wide average,Yet to be Determined,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
3232,Metal Fitters and Machinists,At economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
3233,Precision Metal Trades Workers,At economy-wide average,,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,Shortage
3234,Toolmakers and Engineering Patternmakers,At economy-wide average,Yet to be Determined,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage
3241,Panelbeaters,At economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
3242,Vehicle Body Builders and Trimmers,At economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
3243,Vehicle Painters,At economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
3311,Bricklayers and Stonemasons,At economy-wide average,Short Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
3312,Carpenters and Joiners,At economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
3321,Floor Finishers,Below economy-wide average,Short Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
3322,Painters,Below economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
3331,Glaziers,Below economy-wide average,Retention Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
3332,Plasterers and Renderers,Below economy-wide average,Retention Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
3333,Roof Tilers,Below economy-wide average,Retention Gap,Shortage,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
3334,Wall and Floor Tilers,At economy-wide average,Retention Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
3341,Plumbers,Below economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
3411,Electricians,Below economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
3421,Airconditioning and Refrigeration Mechanics,At economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
3422,Electrical Distribution Trades Workers,At economy-wide average,Long Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
3423,Electronics Trades Workers,At economy-wide average,Short Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
3424,Telecommunications Trades Workers,At economy-wide average,Short Training Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
3511,Bakers and Pastrycooks,At economy-wide average,Retention Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
3512,Butchers and Smallgoods Makers,At economy-wide average,Retention Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
3513,Chefs,At economy-wide average,Retention Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
